date,today_confirm,today_dead,today_heal,today_severe,today_storeConfirm,today_suspect,total_confirm,total_dead,total_heal,total_severe,total_suspect
2020-01-20,291,6,25,0,260,27,291,6,25,0,54
2020-01-21,149,3,0,0,406,26,440,9,25,102,37
2020-01-22,131,8,3,0,526,257,571,17,28,95,393
2020-01-23,259,8,6,0,771,680,830,25,34,177,1072
2020-01-24,457,16,4,0,1208,1118,1287,41,38,237,1965
2020-01-25,688,15,11,0,1870,1309,1975,56,49,324,2684
2020-01-26,769,24,2,0,2613,3806,2744,80,51,461,5794
2020-01-27,1771,26,9,0,4349,2077,4515,106,60,976,6973
2020-01-28,1459,26,43,0,5739,3248,5974,132,103,1239,9239
2020-01-29,1737,38,21,0,7417,4148,7711,170,124,1370,12167
2020-01-30,1981,43,47,0,9308,4812,9692,213,171,1527,15238
2020-01-31,2099,46,72,0,11289,5019,11791,259,243,1795,17988
2020-02-01,2589,45,85,0,13748,4562,14380,304,328,2110,19544
2020-02-02,2825,57,147,0,16369,5173,17205,361,475,2296,21558
2020-02-03,3233,64,157,0,19381,5072,20438,425,632,2788,23214
2020-02-04,3886,65,260,0,22942,3971,24324,490,892,3219,23260
2020-02-05,3694,73,261,0,26302,5328,28018,563,1153,3859,24702
2020-02-06,3143,73,387,0,28985,4833,31161,636,1540,4821,26359
2020-02-07,3385,86,510,0,31774,4214,34546,722,2050,6101,27657
2020-02-08,2652,89,599,0,33738,3916,37198,811,2649,6188,28942
2020-02-09,2973,97,632,0,35982,4008,40171,908,3281,6484,23589
2020-02-10,2467,108,715,0,37626,3536,42638,1016,3996,7333,21675
2020-02-11,2015,97,744,0,38800,3342,44653,1113,4740,8204,16067
2020-02-12,14108,146,902,0,51860,2807,58761,1259,5642,8030,13435
2020-02-13,5090,121,1081,0,55748,2450,63851,1380,6723,10204,10109
2020-02-14,2641,143,1373,0,56873,2277,66492,1523,8096,11053,8969
2020-02-15,2008,142,1323,0,57416,1918,68500,1665,9419,11272,8228
2020-02-16,2048,105,1425,0,57934,1563,70548,1770,10844,10644,7264
2020-02-17,1888,98,1708,0,58016,1432,72436,1868,12552,11741,6242
2020-02-18,1749,136,1824,0,57805,1185,74185,2004,14376,11977,5248
2020-02-19,817,114,1781,0,56727,1277,75002,2118,16157,11864,4922
2020-02-20,889,118,2109,0,55389,1614,75891,2236,18266,11633,5206
2020-02-21,397,109,2393,0,53284,1361,76288,2345,20659,11477,5365
2020-02-22,453,97,2229,0,51411,882,76741,2442,22888,10968,4148
2020-02-23,409,150,1846,0,49824,620,77150,2592,24734,9915,3434
2020-02-24,508,71,2589,0,47672,530,77658,2663,27323,9126,2824
2020-02-25,406,52,2422,0,45604,439,78064,2715,29745,8752,2491
2020-02-26,433,29,2750,0,43258,508,78497,2744,32495,8346,2358
2020-02-27,327,44,3622,0,39919,452,78824,2788,36117,7952,2308
2020-02-28,427,47,2885,0,37414,248,79251,2835,39002,7664,1418
2020-02-29,573,35,2623,0,35329,132,79824,2870,41625,7365,851
2020-03-01,202,42,2837,0,32652,141,80026,2912,44462,7110,715
2020-03-02,125,31,2742,0,30004,129,80151,2943,47204,6806,587
2020-03-03,119,38,2652,0,27433,143,80270,2981,49856,6416,520
2020-03-04,139,31,2189,0,25352,143,80409,3012,52045,5952,522
2020-03-05,143,30,1681,0,23784,102,80552,3042,53726,5737,482
2020-03-06,99,28,1678,0,22177,99,80651,3070,55404,5489,502
2020-03-07,44,27,1661,0,20533,84,80695,3097,57065,5264,458
2020-03-08,40,22,1535,0,19016,60,80735,3119,58600,5111,421
2020-03-09,19,17,1297,0,17721,36,80754,3136,59897,4794,349
2020-03-10,24,22,1578,0,16145,31,80778,3158,61475,4492,285
2020-03-11,15,11,1318,0,14831,33,80793,3169,62793,4257,253
2020-03-12,20,7,1318,0,13526,33,80813,3176,64111,4020,147
2020-03-13,11,13,1430,0,12094,17,80824,3189,65541,3610,115
2020-03-14,20,10,1370,0,10734,39,80844,3199,66911,3226,113
2020-03-15,16,14,838,0,9898,41,80860,3213,67749,3032,134
2020-03-16,21,13,930,0,8976,45,80881,3226,68679,2830,128
2020-03-17,13,11,922,0,8056,21,80894,3237,69601,2622,119
2020-03-18,34,8,819,0,7263,23,80928,3245,70420,2314,105
2020-03-19,39,3,730,0,6569,31,80967,3248,71150,2136,104
2020-03-20,41,7,590,0,6013,36,81008,3255,71740,1963,106
2020-03-21,46,6,504,0,5549,45,81054,3261,72244,1845,118
2020-03-22,39,9,459,0,5120,47,81093,3270,72703,1749,136
2020-03-23,78,7,456,0,4735,35,81171,3277,73159,1573,132
2020-03-24,47,4,491,0,4287,33,81218,3281,73650,1399,134
2020-03-25,67,6,401,0,3947,58,81285,3287,74051,1235,159
2020-03-26,55,5,537,0,3460,49,81340,3292,74588,1034,189
2020-03-27,54,3,383,0,3128,29,81394,3295,74971,921,184
2020-03-28,45,5,477,0,2691,28,81439,3300,75448,742,174
2020-03-29,31,4,322,0,2396,17,81470,3304,75770,633,168
2020-03-30,48,1,282,0,2161,44,81518,3305,76052,528,183
2020-03-31,36,7,186,0,2004,26,81554,3312,76238,466,172
2020-04-01,35,6,170,0,1863,20,81589,3318,76408,429,153
2020-04-02,31,4,163,0,1727,12,81620,3322,76571,379,135
2020-04-03,19,4,180,0,1562,11,81639,3326,76751,331,114
2020-04-04,30,4,213,0,1375,11,81669,3330,76964,295,107
2020-04-05,39,1,114,0,1299,10,81708,3331,77078,265,88
2020-04-06,32,0,89,0,1242,12,81740,3331,77167,211,89
2020-04-07,62,2,112,0,1190,12,81802,3333,77279,189,83
2020-04-08,63,2,91,0,1160,17,81865,3335,77370,176,73
2020-04-09,42,1,85,0,1116,3,81907,3336,77455,144,53
